label, xcoord, ycoord, zcoord, clust10
515, -56.6129, -49.5242, -14.9758, 2
516, -57.9435, -41.0161, -18.3306, 2
517, -38.6104, -7.5422, -37.5341, 2
518, -43.0296, -26.1037, -23.837, 2
519, -47.0947, -15.3158, -30.2526, 2
520, -54.0427, -10.2991, -30.2479, 2
521, -57.1159, -34.867, -22.8584, 2
522, -50.947, -53.9011, -19.3286, 2
523, -42.396, 5.0693, -36.7129, 2
524, -45.3333, -38.587, -22.0145, 2
525, -56.0611, -22.5852, -24.4105, 2
526, -13.685, 17.2283, 10.2283, 2
527, -7.4024, 14.4462, -4.5179, 2
528, -15.0311, -4.4, 20.2311, 2
529, -11.2241, 10.0948, 7.5345, 2
530, 59.5, -19.75, -25.9091, 2
531, 48.8759, -16.9448, -29.4207, 2
532, 52.2032, -2.7487, -36.7807, 2
533, 50.7609, -63.9185, -13.5707, 2
534, 37.7432, 4.7027, -41.8784, 2
535, 63.3854, -28.6146, -21.1146, 2
536, 50.0723, 4.2048, -40.988, 2
537, 54.7092, -57.9541, -8.25, 2
538, 51.5543, -43.6481, -24.1818, 2
539, 60.4981, -42.855, -14.4015, 2
540, 55.0201, -49.6174, -16.6577, 2
541, 58.0879, -8.7692, -31.5165, 2
542, 56.6202, -37.1395, -23.0233, 2
543, 42.6337, -4.7525, -40.1782, 2
544, -60.9197, -26.9708, -10.2482, 2
545, -60.837, -42.1556, -0.88889, 2
546, -47.2019, -57.4366, 17.9812, 2
547, -54.6779, -5.4295, -15.5839, 2
548, -52.9084, -3.0438, -26.6773, 2
549, -59.1286, -18.1162, -11.2199, 2
550, -57.5491, -44.4218, 6.5309, 2
551, -57.4118, -46.7815, -7.1765, 2
552, -48.1803, -65.7682, 4.4721, 2
553, -59.5655, -16.869, -3.7379, 2
554, -62.1679, -29.8905, 2.6715, 2
555, -53.5268, -51.2143, 15.5804, 2
556, -61.7443, -33.9817, -3.4521, 2
557, -49.9391, -59.401, 11.1777, 2
558, -54.336, -57.592, -0.944, 2
559, -60.692, -37.3004, -12.1369, 2
560, -59.2997, -15.9192, -18.9697, 2
561, -44.478, -66.7902, 17.0146, 2
562, -51.6034, 1.7975, -24.4219, 2
563, -52.9948, -54.7358, 6.1865, 2
564, 62.5796, -34.9061, -3.3959, 2
565, 59.3417, -39.1833, 4.275, 2
566, 57.5085, 0.88737, -21.3515, 2
567, 51.2099, -60.5926, 18.2881, 2
568, 54.9431, -50.7154, 14.1138, 2
569, 64.159, -24.2678, -8.318, 2
570, 47.6549, -68.1176, 16.5725, 2
571, 56.4848, -54.3434, 1.4444, 2
572, 62.1702, -13.8213, -12.9702, 2
573, 56.2323, -46.7576, 5.4141, 2
574, 61.0488, -39.0894, -9.2276, 2
575, 62.8906, -14.375, -19.5156, 2
576, 53.8661, -58.8954, 9.9079, 2
577, 52.0089, -62.4911, 1.4464, 2
578, 59.1333, -46.4333, -4.1583, 2
579, 62.8253, -27.9926, -11.2788, 2
580, 56.8414, -3.4759, -25.1724, 2
581, 47.4387, -69.7708, 5.0119, 2
582, -48.0797, 12.6215, -31.3227, 2
583, -37.2082, 17.0367, -35.9265, 2
584, -25.3205, 10.4247, -38.7568, 2
585, 51.9316, 12.7607, -31.1111, 2
586, 45.4553, 14.2195, -37.374, 2
587, 28.8092, 12.2977, -38.9389, 2
588, 57.9283, 9.6592, -21.9821, 2
589, 38.1802, 17.4054, -36.973, 2
590, -33.6996, 18.1897, -27.7391, 2
591, -51.6528, 7.9925, -12.6717, 6
592, -47.7, 13, -15.1692, 2
593, -25.0491, 11.4189, -29.1019, 2
594, -42.7438, 19.3967, -22.7851, 2
595, 44.0418, 18.7666, -23.7909, 2
596, 33.2675, 14.9236, -28.3503, 2
597, 55.506, 12.239, -16.988, 2
598, 53.1137, 13.8588, -11.7882, 2
599, 58.7792, 5.7489, -5.7922, 2
600, -52.1079, -22.4398, 10.0498, 2
601, -53.2913, -3.3622, -4.315, 2
602, -55.9424, -27.5885, 8.1564, 2
603, -53.8252, -44.3287, 16.2797, 2
604, -53.075, -18.3, 3.1917, 2
605, -55.1496, -36.7244, 19.0394, 2
606, -50.0211, -1.4316, -10.2807, 2
607, -52.2394, -10.9112, -0.83398, 2
608, -55.8718, -33.9145, 12.7778, 2
609, 58.8788, -6.2879, 1.3333, 2
610, 55.213, -47.0686, 18.1227, 2
611, 59.834, -35.7075, 13.2964, 2
612, 59.8607, -32.7869, 7.7295, 2
